image,description,comments,state,UUID
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25SummitRatonPassNorth.jpg&v=00608,0.35 mi N of Raton Pass (LV),Traffic closest to camera is moving South,CO,CO1000000
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25SummitRatonPassSouth.jpg&v=00608,0.35 mi N of Raton Pass (LV),Traffic closest to camera is moving South,CO,CO1000001
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25SummitRatonPassRoadSurface.jpg&v=00608,0.35 mi N of Raton Pass (LV),South Bound Lanes,CO,CO1000002
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025008-N.jpg&v=00608,Raton Pass,North Bound Traffic,CO,CO1000003
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025008-S.jpg&v=00608,Raton Pass,South Bound Traffic,CO,CO1000004
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25ElMoroRestAreaNorth.jpg&v=00608,1.0 mi N of Trinidad (LV),Traffic closest to camera is moving North,CO,CO1000005
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25ElMoroRestAreaSouth.jpg&v=00608,1.0 mi N of Trinidad (LV),Traffic closest to camera is moving North,CO,CO1000006
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25ElMoroRestAreaRoadSurface.jpg&v=00608,1.0 mi N of Trinidad (LV),North Bound Lanes,CO,CO1000007
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N033-N.jpg&v=00608,Aguilar (RWIS),North Bound Traffic,CO,CO1000008
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025N033-S.jpg&v=00608,Aguilar (RWIS),South Bound Traffic,CO,CO1000009
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25SouthOfWalsenburgNorth.jpg&v=00608,0.5 mi N of US-160 Walsenburg (LV),Traffic closest to camera is moving North,CO,CO1000010
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25SouthOfWalsenburgSouth.jpg&v=00608,0.5 mi N of US-160 Walsenburg (LV),Traffic closest to camera is moving North,CO,CO1000011
https://i.cotrip.org/dimages/camera?imageURL=liveview/I25SouthOfWalsenburgRoadSurface.jpg&v=00608,0.5 mi N of US-160 Walsenburg (LV),North Bound Lanes,CO,CO1000012
https://i.cotrip.org/dimages/camera?imageURL=remote/CTMCCAM025S053-00-S.jpg&v=00608,.5 mi N of I-25 Buisness Loop,Traffic closest to camera traveling South,CO,CO1000013
